ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
99,-84.8750,11.3750,9.5559,8.4803,8.4381,10.3654,9.9090,9.2546,8.7457,8.1540,9.3372,10.0024,9.0759,10.8534,11.1244,11.7236,9.5436
100,-84.6250,11.3750,12.7225,10.8801,10.7312,13.3391,13.4342,11.4045,11.6208,10.9103,12.2066,12.4433,11.2314,13.3672,13.9483,14.1502,12.4784
105,-86.1250,11.6250,3.9080,4.2463,3.1257,3.4930,4.1220,3.3780,3.9192,2.9548,3.8275,3.7818,3.7694,3.6178,4.0486,4.2794,4.1406
106,-85.8750,11.6250,4.5830,4.5922,3.6010,3.8032,4.2104,3.6811,4.4011,3.1149,4.0513,4.1805,4.2305,4.2374,4.5003,4.5013,4.4576
107,-85.6250,11.6250,5.3168,5.0335,4.3716,4.7400,4.7313,4.1373,4.9638,3.6912,4.7371,4.8900,4.9594,5.1937,5.1804,5.7502,5.3851
108,-85.3750,11.6250,5.7944,5.3656,4.9685,5.8527,5.4032,5.1088,5.5350,3.9992,5.0585,5.5705,5.4000,5.8679,6.2319,6.4671,5.9372
109,-85.1250,11.6250,7.7918,6.7563,6.8385,7.5974,7.2605,7.2163,7.1085,5.7629,6.7354,7.9107,7.1436,8.0341,8.0912,8.3536,7.4215
110,-84.8750,11.6250,10.7200,8.9056,9.2650,10.9210,10.8123,9.7036,9.2981,8.7028,10.1076,10.8388,9.6695,11.4264,11.4502,12.1766,10.2238
111,-84.6250,11.6250,13.6115,11.8468,11.7927,13.6896,14.2360,11.5458,12.0562,11.5182,12.7719,13.0059,12.0140,14.3048,14.5929,14.8677,13.3809
117,-86.3750,11.8750,3.2979,3.8154,2.7480,3.0975,3.2052,3.0937,3.5928,2.4742,3.4781,3.3440,3.3187,3.0665,3.2461,3.6231,3.5674
118,-86.1250,11.8750,3.7049,4.0140,2.9937,3.3600,3.9399,3.3168,3.8689,2.6649,3.6910,3.6930,3.5843,3.3975,3.6461,4.1337,3.9576
119,-85.8750,11.8750,4.5006,4.4270,3.5426,3.5429,4.0867,3.7062,4.3023,3.0482,3.9705,4.0938,4.1274,4.0661,4.3369,4.6242,4.5026
120,-85.6250,11.8750,5.2756,4.9555,4.2064,4.8133,4.6977,4.3733,4.9423,3.7131,4.5347,4.8094,4.9523,5.1591,5.2261,5.7856,5.4211
121,-85.3750,11.8750,5.9904,5.3828,5.1854,5.8875,5.7878,5.3664,5.7644,4.1135,5.1279,5.7724,5.4888,5.9410,6.3154,6.5242,6.0892
122,-85.1250,11.8750,7.9131,6.8025,7.1725,7.9049,7.7493,7.4277,7.2216,6.1888,6.9301,8.0040,7.2768,7.8260,8.2512,8.6613,7.6139
123,-84.8750,11.8750,11.2107,8.7365,9.7374,10.8681,10.5962,9.8538,9.2785,9.2816,10.5555,10.8774,9.7755,11.0135,11.3716,11.9558,10.3899
130,-86.6250,12.1250,3.1966,3.5805,2.5890,2.6174,3.0301,2.9313,3.3822,2.3363,3.3212,3.2557,3.1664,2.9029,3.0757,3.3989,3.3974
