ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
150,-85.6250,12.3750,-2.6355,0.0468,3.1178,0.3635,5.7533,0.0995,0.2845,0.2560,-0.7674,0.0609
151,-85.3750,12.3750,-2.0089,0.1118,3.3822,0.1556,5.3911,0.1252,0.2691,0.1728,-0.8231,0.0691
152,-85.1250,12.3750,-2.9778,0.0691,2.5400,0.3343,5.5178,0.1556,0.3560,0.0884,-0.9882,0.0535
153,-84.8750,12.3750,-2.9045,0.0995,2.8600,0.2805,5.7645,0.1556,0.4004,0.1556,-1.1897,0.0995
161,-87.1250,12.6250,-2.0867,0.0884,2.6978,0.0231,4.7844,0.0609,0.4721,0.2115,-0.6825,0.0054
162,-86.8750,12.6250,-1.1089,0.3635,2.2200,0.0535,3.3289,0.1556,0.2452,0.7764,-0.6121,0.0106
163,-86.6250,12.6250,-0.8533,0.5321,1.9866,0.0309,2.8400,0.1914,0.2087,0.9547,-0.5608,0.0064
164,-86.3750,12.6250,-0.6244,0.6909,2.1333,0.0995,2.7578,0.2560,0.1924,0.9547,-0.5359,0.0125
165,-86.1250,12.6250,-1.6355,0.1398,2.8667,0.1118,4.5022,0.0691,0.2526,0.6496,-0.6211,0.0125
166,-85.8750,12.6250,-1.6444,0.1118,1.6311,0.4603,3.2756,0.2115,0.1457,0.8203,-0.5675,0.0409
167,-85.6250,12.6250,-2.8733,0.0468,2.5311,0.2560,5.4045,0.0609,0.2105,0.5321,-0.6851,0.0535
168,-85.3750,12.6250,-2.1711,0.1398,3.1844,0.1914,5.3555,0.0995,0.2004,0.2805,-0.7386,0.0468
169,-85.1250,12.6250,-2.8066,0.1118,2.1622,0.3942,4.9689,0.1398,0.2290,0.1118,-0.8395,0.0783
176,-87.6250,12.8750,-3.0889,0.0064,2.6378,0.1182,5.7267,0.0231,0.4719,0.0884,-0.6877,0.0125
177,-87.3750,12.8750,-1.9600,0.0995,3.2089,0.0535,5.1689,0.0608,0.4949,0.2115,-0.7168,0.0076
178,-87.1250,12.8750,-1.7889,0.1556,2.7867,0.0199,4.5756,0.0535,0.4616,0.3343,-0.7167,0.0031
179,-86.8750,12.8750,-1.2956,0.2329,2.2489,0.1398,3.5444,0.0884,0.2473,0.8202,-0.6750,0.0064
180,-86.6250,12.8750,-0.5800,0.5701,2.7155,0.0468,3.2956,0.1118,0.2031,1.0000,-0.6217,0.0064
181,-86.3750,12.8750,-1.0244,0.4265,3.2511,0.0468,4.2755,0.0691,0.2409,0.8203,-0.6556,0.0054
182,-86.1250,12.8750,-0.5889,0.5701,2.4778,0.1397,3.0667,0.2115,0.2046,0.8647,-0.6437,0.0146
183,-85.8750,12.8750,-1.5444,0.1914,2.1089,0.3942,3.6533,0.2115,0.1600,0.7333,-0.6314,0.0409
184,-85.6250,12.8750,-2.0467,0.1556,3.7200,0.0783,5.7667,0.0409,0.1872,0.4265,-0.7150,0.0535
185,-85.3750,12.8750,-1.8133,0.1914,2.9800,0.2330,4.7933,0.1118,0.1798,0.3942,-0.7498,0.0609
186,-85.1250,12.8750,-2.7178,0.0691,2.2711,0.3942,4.9889,0.1118,0.2416,0.1556,-0.8582,0.0468
199,-87.3750,13.1250,-1.3645,0.3066,2.2578,0.0468,3.6222,0.1914,0.4331,0.3942,-0.7360,0.0045
200,-87.1250,13.1250,-1.9333,0.2115,1.9778,0.0691,3.9111,0.0884,0.3595,0.4265,-0.7141,0.0045
201,-86.8750,13.1250,-1.2556,0.2559,2.2067,0.0884,3.4622,0.1252,0.2606,0.7333,-0.6590,0.0064
202,-86.6250,13.1250,-0.9578,0.5321,3.5067,0.0381,4.4644,0.0534,0.3207,0.5701,-0.7345,0.0022
203,-86.3750,13.1250,0.0067,0.7764,3.2156,0.1252,3.2089,0.2330,0.2795,0.7333,-0.7132,0.0064
204,-86.1250,13.1250,-1.4755,0.2560,3.4000,0.1475,4.8755,0.0691,0.3326,0.6496,-0.8148,0.0125
205,-85.8750,13.1250,-1.8378,0.0995,1.2778,0.5321,3.1156,0.1398,0.2686,0.8203,-0.7911,0.0535
206,-85.6250,13.1250,-1.8444,0.1556,3.3356,0.1556,5.1800,0.0609,0.3799,0.1556,-0.9567,0.0268
207,-85.3750,13.1250,-2.8156,0.0783,5.1622,0.0231,7.9778,0.0268,0.5048,0.0356,-1.1001,0.0309
208,-85.1250,13.1250,-2.8933,0.0609,5.5266,0.0535,8.4200,0.0356,0.6288,0.0231,-1.2502,0.0268
209,-84.8750,13.1250,-2.6222,0.0309,4.6333,0.0691,7.2556,0.0535,0.6887,0.0146,-1.2875,0.0309
218,-88.8750,13.3750,-4.5956,0.0045,4.9400,0.0356,9.5356,0.0125,1.0586,0.0045,-1.3724,0.0125
219,-88.6250,13.3750,-4.3111,0.0064,4.3489,0.0409,8.6600,0.0106,1.0187,0.0054,-1.3094,0.0125
220,-88.3750,13.3750,-4.3422,0.0031,2.8711,0.0609,7.2134,0.0125,0.8270,0.0090,-1.0967,0.0090
221,-88.1250,13.3750,-3.8067,0.0022,3.0000,0.0468,6.8067,0.0076,0.7629,0.0090,-0.9815,0.0064
222,-87.8750,13.3750,-2.5422,0.0884,2.7778,0.0468,5.3200,0.0199,0.5838,0.0535,-0.8676,0.0090
224,-87.3750,13.3750,-1.3533,0.4603,2.4533,0.0331,3.8067,0.1556,0.4166,0.4603,-0.7351,0.0026
225,-87.1250,13.3750,-1.8600,0.2330,2.4444,0.0535,4.3044,0.0609,0.3394,0.6092,-0.6999,0.0026
226,-86.8750,13.3750,-2.2689,0.0995,3.9844,0.0106,6.2533,0.0199,0.3215,0.6496,-0.7342,0.0018
227,-86.6250,13.3750,-0.8711,0.5894,2.9733,0.0691,3.8444,0.1398,0.3169,0.6496,-0.7602,0.0022
228,-86.3750,13.3750,-0.4089,0.7333,2.8689,0.1398,3.2778,0.1556,0.2685,0.6496,-0.7450,0.0064
229,-86.1250,13.3750,-1.0511,0.4265,3.8244,0.1728,4.8756,0.0884,0.3779,0.3343,-0.9127,0.0090
230,-85.8750,13.3750,-2.1956,0.1398,4.4400,0.0783,6.6356,0.0608,0.5043,0.1728,-1.0741,0.0231
231,-85.6250,13.3750,-2.1044,0.1398,5.7333,0.0409,7.8378,0.0248,0.5364,0.1398,-1.1594,0.0356
241,-89.8750,13.6250,-1.7533,0.1252,5.1889,0.0268,6.9422,0.0356,0.9093,0.0199,-1.2046,0.0171
242,-89.6250,13.6250,-3.5956,0.0090,4.8667,0.0268,8.4622,0.0090,0.8753,0.0146,-1.2526,0.0231
243,-89.3750,13.6250,-4.1289,0.0064,5.1645,0.0268,9.2933,0.0125,0.9792,0.0090,-1.4450,0.0171
244,-89.1250,13.6250,-4.6489,0.0022,5.4333,0.0199,10.0822,0.0064,1.0817,0.0064,-1.5667,0.0146
245,-88.8750,13.6250,-4.7644,0.0076,5.6134,0.0268,10.3778,0.0106,1.0486,0.0054,-1.4779,0.0125
246,-88.6250,13.6250,-4.9889,0.0076,5.1111,0.0309,10.1000,0.0106,1.0127,0.0076,-1.4045,0.0125
247,-88.3750,13.6250,-4.8422,0.0064,3.8400,0.0535,8.6822,0.0125,0.9525,0.0054,-1.3140,0.0076
248,-88.1250,13.6250,-3.9178,0.0015,3.9022,0.0535,7.8200,0.0106,0.8560,0.0054,-1.1713,0.0064
