ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
107,-85.6250,11.6250,11.0439,10.3455,13.2241,12.9247,11.0548,12.5431,12.4287,12.8723,11.6404,11.7166,10.6195,10.3028,11.3885,10.0643,12.1158
108,-85.3750,11.6250,11.3327,10.4114,13.2418,13.2073,11.2152,12.5490,12.2934,13.0711,12.0358,12.1764,10.9206,10.6031,12.1509,10.5445,12.5235
109,-85.1250,11.6250,13.2469,11.8651,15.1019,15.3881,13.0126,14.3944,13.8264,14.9758,14.1518,14.3071,12.8167,12.6787,14.5820,12.6466,14.6211
110,-84.8750,11.6250,16.8933,14.7719,18.6993,19.6018,16.6764,18.2645,17.1248,19.0410,17.8004,18.1217,16.0826,16.4702,18.2581,16.2779,18.5125
111,-84.6250,11.6250,19.7951,17.1345,21.7943,22.9972,19.8348,21.4298,19.8284,22.8252,20.8138,21.3177,18.7429,19.5216,20.8938,19.1071,21.5570
117,-86.3750,11.8750,10.2840,9.6340,11.4635,11.5701,10.0403,11.3216,11.5076,11.4507,10.4195,11.0557,9.9595,9.5855,8.4011,9.0551,11.3298
118,-86.1250,11.8750,10.5110,9.7751,11.5323,11.7849,10.4224,11.4746,11.7406,11.9127,10.5931,11.3876,10.1725,9.7598,9.1004,9.3127,11.5516
119,-85.8750,11.8750,10.4563,10.0092,12.2804,12.3449,10.6035,11.8907,11.9601,11.9654,10.8230,11.0610,10.1351,9.7156,10.0371,9.4280,11.4299
120,-85.6250,11.8750,10.7520,10.1491,12.4171,12.6385,10.8235,12.0612,11.9926,12.5090,11.2628,11.5385,10.4638,9.9080,10.9274,9.8117,11.8154
121,-85.3750,11.8750,11.2876,10.4673,12.7724,13.3190,11.2121,12.3886,12.2000,13.0297,11.9783,12.2772,11.0656,10.6061,11.9148,10.6137,12.5077
122,-85.1250,11.8750,13.2834,12.0395,14.8663,15.7706,13.1532,14.4373,13.9527,15.1253,14.3109,14.5150,13.0555,12.7293,14.4617,12.7441,14.6821
123,-84.8750,11.8750,16.8534,14.9385,18.5576,20.0692,16.7162,18.4071,17.4067,19.1619,17.9195,18.2141,16.1930,16.3239,18.0612,16.2063,18.4021
130,-86.6250,12.1250,9.7318,9.4758,11.4768,11.8636,9.6500,11.2255,11.2043,11.4027,10.4986,10.3643,9.6674,9.1321,7.7579,8.6399,10.7775
131,-86.3750,12.1250,9.8851,9.5276,11.5392,11.7918,9.9156,11.2673,11.2465,11.5003,10.3745,10.5686,9.7979,9.2261,8.2725,8.8692,10.8771
132,-86.1250,12.1250,10.1042,9.5827,11.6219,11.8462,10.2460,11.3629,11.3254,11.7079,10.4972,10.8610,9.9977,9.2904,8.9628,9.0574,11.0763
133,-85.8750,12.1250,10.5204,9.8336,11.7817,12.3399,10.4851,11.7390,11.5895,12.1364,10.9115,11.2891,10.2030,9.5456,9.7929,9.4479,11.4899
134,-85.6250,12.1250,11.2018,10.3175,12.2740,13.1464,11.0410,12.2442,12.1043,12.9681,11.6939,12.0754,10.8727,10.1346,10.9524,10.2889,12.3081
135,-85.3750,12.1250,12.2857,11.1338,13.2660,14.4941,11.9802,13.1469,13.0043,14.0483,12.9931,13.2534,11.9284,11.1555,12.4973,11.4662,13.4974
136,-85.1250,12.1250,14.0256,12.5803,15.0550,16.6593,13.7484,14.8915,14.6694,15.7796,15.0335,15.1692,13.6009,12.9313,14.8216,13.2796,15.4084
137,-84.8750,12.1250,16.5851,14.7953,17.8031,19.7949,16.3575,17.8480,16.8145,18.7775,17.7131,17.8587,15.8079,15.4433,17.5759,15.8959,18.2341
145,-86.8750,12.3750,9.8932,9.8634,11.9734,12.4707,10.0065,11.7087,11.6754,11.7114,11.2116,10.5575,9.9669,9.4112,7.3140,8.8539,11.0230
146,-86.6250,12.3750,9.8292,9.7237,11.7249,12.0106,9.9968,11.4924,11.3955,11.6612,10.7568,10.5572,9.8939,9.2533,7.6390,8.8543,10.8845
147,-86.3750,12.3750,9.6498,9.3786,11.2813,11.4720,9.7947,11.0946,10.9259,11.3600,10.1995,10.4010,9.6936,8.9693,7.9245,8.6999,10.5895
148,-86.1250,12.3750,9.6976,9.2681,11.1190,11.3097,9.8685,10.9814,10.7540,11.3601,10.0900,10.5200,9.7474,8.9086,8.4506,8.7488,10.6075
149,-85.8750,12.3750,10.0771,9.5470,11.2789,11.8321,10.0641,11.3058,10.9636,11.7412,10.5102,10.9539,9.9944,9.1525,9.2806,9.1394,11.0559
150,-85.6250,12.3750,10.8212,10.1347,11.8764,12.7227,10.7132,11.9028,11.5699,12.6065,11.3997,11.8037,10.7038,9.8160,10.4740,9.9771,11.9133
