ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
86,-85.6250,11.1250,8.4158,7.3809,11.4557,10.0712,8.1330,11.8474,9.3649,11.9413,8.9338,8.5576,8.0230,8.3511,7.2742,6.7561,9.0038
87,-85.3750,11.1250,8.1608,7.2630,11.2294,9.7726,7.7050,10.5214,9.0691,11.4052,9.0595,8.1994,7.6949,7.9934,7.2433,6.0311,8.7044
88,-85.1250,11.1250,7.8663,6.9264,10.3119,8.2074,7.3320,10.3526,8.2123,10.8002,8.3250,7.9102,7.4200,7.0194,6.9420,5.5556,8.6188
89,-84.8750,11.1250,7.9940,6.6470,10.0298,8.0266,6.3944,9.5611,7.8406,10.5749,7.9513,7.8638,7.2759,6.3037,6.5903,4.4978,8.4439
90,-84.6250,11.1250,7.7100,5.9883,9.8940,7.5565,5.7791,9.2831,6.4645,9.9865,7.2399,7.9489,6.7721,6.5414,6.4263,4.6206,8.3911
91,-84.3750,11.1250,7.2677,5.8446,8.5177,7.8639,5.4596,9.5347,6.3478,10.8803,6.8383,7.9548,7.0112,6.5220,6.3945,4.9808,9.3625
95,-85.8750,11.3750,8.1764,7.2184,10.7259,9.5844,7.6731,11.1457,8.9817,11.0345,8.4584,8.3727,7.8426,8.0120,7.4499,6.5338,8.6406
96,-85.6250,11.3750,7.9298,7.0145,10.1089,9.2631,7.4387,10.5435,8.4485,11.1642,8.3196,8.1620,7.3849,7.6936,7.4045,6.1690,8.5263
97,-85.3750,11.3750,7.4875,6.7275,9.5866,8.7274,6.8000,9.1449,8.0536,10.5597,8.3064,7.1909,7.0949,6.8739,7.0490,5.1849,7.9984
98,-85.1250,11.3750,7.1102,6.4071,9.1098,7.6786,6.6837,8.3927,7.4460,9.7277,7.7149,7.0989,6.8525,6.2643,7.2314,4.9822,8.0732
99,-84.8750,11.3750,7.7158,6.6791,9.5352,7.5380,6.1224,8.8899,7.5128,10.0243,7.7626,7.4726,6.9352,6.0406,6.4165,4.0831,8.5729
100,-84.6250,11.3750,7.1931,6.4069,9.6389,7.2832,5.5226,9.5087,6.8526,10.1547,7.5689,7.8990,7.1319,6.2850,6.3216,4.4800,8.5447
105,-86.1250,11.6250,8.3023,7.5772,9.6917,9.2873,7.3826,9.7842,8.7095,9.7155,8.0125,8.7237,7.9198,8.6921,6.6238,6.6545,8.2249
106,-85.8750,11.6250,7.6510,6.8953,9.6052,8.9418,7.2631,9.6648,8.2530,10.2350,7.9823,7.9096,7.4300,7.4430,6.9545,6.0584,8.0639
107,-85.6250,11.6250,7.1412,6.5593,8.9375,8.1806,6.8586,9.1968,7.7065,9.8453,7.5973,7.4832,6.8812,6.6516,6.8702,5.0801,7.4568
108,-85.3750,11.6250,6.9926,6.4052,8.5212,7.3989,6.4443,8.3080,7.2069,9.7182,7.7002,7.2127,6.7108,6.3498,6.4391,4.8299,7.3345
109,-85.1250,11.6250,6.7496,6.3752,8.3948,7.5461,6.2218,7.9707,7.1155,9.7197,7.8134,6.7745,6.6190,6.0122,6.7151,4.7777,7.8113
110,-84.8750,11.6250,7.3521,7.0021,9.3194,7.8698,6.0739,9.1905,7.8274,10.3890,7.8075,7.4722,7.1643,6.1200,6.8631,4.4294,8.7174
111,-84.6250,11.6250,7.2249,6.2573,9.4581,8.0443,5.6319,10.5048,7.4852,10.7894,7.9134,8.2849,7.2433,6.0923,6.4962,4.5861,8.4897
117,-86.3750,11.8750,8.2744,7.4969,9.2394,8.6652,7.6601,9.0529,8.0663,9.5150,7.7595,8.5736,7.9069,8.4708,6.4978,6.5688,8.1451
118,-86.1250,11.8750,7.9883,7.3347,9.0548,8.5726,7.2370,8.9748,7.9463,9.7164,7.6452,8.4445,7.7415,8.2774,6.5543,6.3186,7.8956
119,-85.8750,11.8750,7.2989,6.6810,8.7785,8.5383,7.0423,8.7555,7.7573,9.7697,7.5937,7.6375,7.1621,7.0766,6.5264,5.5559,7.5742
120,-85.6250,11.8750,6.8919,6.3806,8.3476,7.6623,6.6865,8.2529,7.3094,9.4136,7.4587,7.3224,6.6688,6.2786,6.4097,4.8452,7.1353
121,-85.3750,11.8750,6.7575,6.3720,7.8767,7.2603,6.0914,7.6885,6.8815,9.4815,7.5484,7.0111,6.6681,6.1787,6.2211,4.8443,7.1644
122,-85.1250,11.8750,6.7139,6.4535,7.8618,7.3338,5.9129,7.6557,7.1078,9.3437,7.7426,6.7847,6.6420,6.2030,6.5821,4.6044,7.6981
123,-84.8750,11.8750,6.8832,7.2607,8.7301,8.0548,6.3735,9.1377,8.0311,9.8562,7.4279,7.4569,7.1395,6.4006,6.9290,4.7171,8.5148
130,-86.6250,12.1250,7.7841,7.0888,9.2190,8.7204,7.2080,8.9708,7.7229,9.9463,7.8821,7.8580,7.6826,7.8717,6.2026,5.8916,7.8273
131,-86.3750,12.1250,7.7224,6.9914,9.0469,8.2263,7.1784,8.8305,7.5178,9.8435,7.5419,7.8677,7.6223,7.8383,6.2720,6.0950,7.7379
132,-86.1250,12.1250,7.2598,6.7017,8.7800,7.9429,6.7714,8.5389,7.1882,9.7070,7.3039,7.7577,7.4061,7.5499,6.1883,5.8646,7.4625
133,-85.8750,12.1250,6.9882,6.4372,8.6113,7.9326,6.5435,8.4698,6.9032,9.5752,7.3819,7.7154,7.0130,7.1234,6.1662,5.1225,7.2582
134,-85.6250,12.1250,6.7132,6.2111,8.3925,7.5458,6.2996,7.8904,6.8269,9.7017,7.4700,7.4219,6.9079,6.6357,6.0332,5.0152,6.8825
135,-85.3750,12.1250,6.8724,6.1093,8.1209,7.2042,6.1980,7.5777,6.5382,9.3236,7.4306,7.2526,7.0113,6.4700,5.9714,4.6330,6.9489
136,-85.1250,12.1250,6.8493,6.1461,8.1761,7.2835,5.8381,7.8275,6.9092,9.5549,7.8363,7.3508,6.8248,6.0611,6.2753,4.2812,7.3118
137,-84.8750,12.1250,6.3651,6.3100,7.9539,7.2956,5.8093,8.0093,7.2228,9.9861,7.4241,6.8880,5.8689,5.5355,6.4980,4.5102,7.8932
145,-86.8750,12.3750,8.1542,7.4826,9.9733,9.2237,7.6875,9.6449,8.2325,10.4555,8.8557,8.1666,8.0911,8.3461,7.0619,6.0536,8.4111
146,-86.6250,12.3750,7.9204,7.3204,9.5271,8.7050,7.4947,9.2974,7.8599,10.2766,8.2874,8.0461,7.9151,8.1579,6.8365,6.1684,8.1780
147,-86.3750,12.3750,7.4840,6.7945,8.8658,7.9718,7.0152,8.6585,7.2192,9.6932,7.4807,7.6552,7.4533,7.6610,6.1029,5.9565,7.4423
148,-86.1250,12.3750,6.7212,6.3784,8.3857,7.4017,6.4234,8.1559,6.7069,9.3177,7.0517,7.2993,6.9871,7.1159,5.8460,5.5066,6.9984
149,-85.8750,12.3750,6.8928,6.2292,8.1961,7.4322,6.2576,8.1327,6.4726,9.1791,7.1388,7.3913,6.7841,6.8896,5.9096,5.0152,6.7642
150,-85.6250,12.3750,6.4143,6.0728,7.9889,6.7650,5.9769,7.5572,6.4081,9.3497,7.2306,6.8433,6.6953,6.2524,5.7460,4.6211,6.4684
151,-85.3750,12.3750,6.6020,5.9186,7.9180,6.7678,6.1052,7.1719,6.2087,9.2380,7.3335,6.9680,6.4992,6.1238,5.8195,4.6316,6.6105
152,-85.1250,12.3750,6.5116,5.8060,7.3902,6.6872,5.3287,7.3650,6.4597,8.9612,7.1547,7.0211,5.9525,5.6935,5.9694,4.2886,6.8593
153,-84.8750,12.3750,6.2048,6.0872,7.3338,6.9904,5.5784,7.1413,6.3767,8.5165,6.8772,6.5494,5.8749,5.1798,6.4302,4.7354,7.2217
161,-87.1250,12.6250,9.5974,8.9018,12.4596,10.9911,9.3011,11.6596,9.6373,12.1730,11.0309,9.5113,9.6903,9.5660,8.9448,7.3209,9.5442
162,-86.8750,12.6250,9.0898,8.3453,11.3113,9.9536,8.7730,10.8537,9.0528,11.6201,10.1808,8.9545,9.0079,8.7716,8.3844,6.9616,9.2059
163,-86.6250,12.6250,8.3606,7.6669,10.1776,8.9718,8.0267,9.8239,8.1721,10.8762,8.9474,8.3221,8.2766,8.0491,7.5665,6.6271,8.4624
164,-86.3750,12.6250,7.4516,6.7546,8.9001,7.7991,7.0759,8.6220,7.1230,9.6509,7.6153,7.3815,7.3570,7.1129,6.5370,6.0089,7.4799
165,-86.1250,12.6250,6.6618,6.1029,8.0263,6.9289,6.1428,7.7732,6.3148,8.8659,6.8626,6.7426,6.6310,6.2832,5.6672,5.2299,6.5796
