ID,Lon,Lat,nyears,onset_mx_mn,onset_dy_mn,end_mx_mn,end_dy_mn,min_mn_mn,duration_mn,intensity_mn,onset_mx_sd,onset_dy_sd,end_mx_sd,end_dy_sd,min_mn_sd,duration_sd,intensity_sd
206,-85.625,13.125,30,11.8520,174.0667,11.9288,236.0667,6.0671,62.0000,5.8233,3.0940,16.2840,2.9556,27.9950,3.1633,34.4333,3.6067
207,-85.375,13.125,30,12.6806,174.7667,12.4936,233.2667,6.5487,58.5000,6.0384,3.3328,16.6830,2.9627,28.3876,3.4685,35.4700,3.9026
208,-85.125,13.125,30,13.8239,179.1000,13.3204,231.6000,7.7890,52.5000,5.7832,3.6464,14.7820,3.0552,27.7608,4.0651,32.6494,3.9543
209,-84.875,13.125,30,16.1435,171.6000,14.4732,230.6000,8.9809,59.0000,6.3275,4.3737,19.8505,3.1897,27.7111,4.3986,40.0672,4.1702
218,-88.875,13.375,30,12.6737,174.2000,15.2112,248.3000,6.0452,74.1000,7.8973,3.7408,16.9490,3.6298,20.7317,2.9640,26.3260,3.3846
219,-88.625,13.375,30,12.2431,171.7333,14.9068,249.5333,5.5321,77.8000,8.0428,3.5673,15.8678,3.5482,19.4435,2.3272,21.3709,2.8221
220,-88.375,13.375,30,11.7040,169.4000,14.4664,249.7000,5.0704,80.3000,8.0148,3.3870,16.9026,3.4850,19.3892,2.1731,21.7210,2.4459
221,-88.125,13.375,30,11.4314,163.0333,14.3483,253.2667,4.6788,90.2333,8.2110,3.1823,20.3122,3.5693,17.3283,2.0874,29.1059,2.2188
222,-87.875,13.375,30,11.2989,167.6000,13.7560,253.2667,4.6774,85.6667,7.8501,2.8298,17.9801,3.4743,15.5938,2.1421,25.3300,2.3981
224,-87.375,13.375,30,11.7290,158.9000,13.3952,256.3333,3.6482,97.4333,8.9139,3.1939,18.6425,3.5357,11.8739,1.6069,18.5318,2.2053
225,-87.125,13.375,30,11.5856,161.0667,12.6085,256.3000,3.5608,95.2333,8.5362,3.2568,17.7530,3.3488,12.9032,1.5806,20.3465,2.0836
226,-86.875,13.375,30,10.8026,161.5000,11.5211,256.8667,3.3577,95.3667,7.8042,2.8997,17.5101,2.8442,11.7729,1.3672,20.6723,1.8008
227,-86.625,13.375,30,10.6486,162.7667,10.8131,251.3000,3.5675,88.5333,7.1634,3.0015,17.7272,2.5774,17.6091,1.6045,22.7713,1.8914
228,-86.375,13.375,30,10.8449,168.0667,10.8000,248.6333,4.0326,80.5667,6.7898,3.1121,17.4651,2.4089,18.0277,1.7731,29.2040,2.1419
229,-86.125,13.375,30,11.4702,173.3000,11.1188,245.3000,4.8390,72.0000,6.4555,3.1602,16.0520,2.3971,21.4173,2.1341,30.8500,2.4923
230,-85.875,13.375,30,11.8341,173.0000,11.8570,238.5667,5.6969,65.5667,6.1487,3.1522,16.1160,2.9674,27.8155,2.7380,31.0302,3.3156
231,-85.625,13.375,30,12.6672,174.3000,12.4963,232.8000,6.6137,58.5000,5.9680,3.3495,16.1867,2.9651,28.1185,3.4552,32.3257,3.7484
241,-89.875,13.625,30,13.8634,170.6000,16.1446,239.2000,6.8047,68.6000,8.1993,3.5279,18.5632,4.2745,23.2118,3.1543,30.8116,3.4562
242,-89.625,13.625,30,13.3541,173.7667,15.7324,237.7667,6.8776,64.0000,7.6657,3.4216,17.6649,4.1006,22.5827,3.2238,29.2197,3.3108
243,-89.375,13.625,30,13.0536,173.7000,15.7892,235.4000,7.2774,61.7000,7.1440,3.4021,17.5934,4.1123,22.9145,3.3749,31.2555,3.4851
244,-89.125,13.625,30,12.6728,176.9000,15.6679,236.9000,7.1607,60.0000,7.0097,3.3761,17.2254,4.1385,21.4482,3.2530,30.8086,3.3487
245,-88.875,13.625,30,12.6830,177.4667,15.0081,244.0667,6.4692,66.6000,7.3763,3.9731,17.8456,3.5796,23.4181,3.3085,27.2417,3.6015
246,-88.625,13.625,30,12.1959,176.3667,14.6507,247.2333,5.8952,70.8667,7.5281,3.7401,17.5764,3.4604,20.6476,2.9563,24.5381,3.1756
247,-88.375,13.625,30,11.6739,172.9000,14.2500,250.3000,5.2778,77.4000,7.6842,3.5233,16.3314,3.3734,18.2098,2.2504,20.1470,2.6333
248,-88.125,13.625,30,11.2984,165.2333,13.9487,251.4000,4.8278,86.1667,7.7957,3.3482,20.3549,3.3970,17.5845,2.1368,25.8591,2.4691
249,-87.875,13.625,30,10.9961,169.0000,12.9950,249.7667,4.7405,80.7667,7.2551,2.7947,17.6127,3.3231,18.6505,2.1988,26.9389,2.3655
250,-87.625,13.625,30,10.6294,164.1333,12.3025,252.4000,4.1358,88.2667,7.3302,2.8795,17.7176,3.3077,16.3825,1.9735,27.1952,2.3574
251,-87.375,13.625,30,10.2425,163.1000,11.1683,255.4333,3.3753,92.3333,7.3301,2.9171,17.4125,3.1263,13.1298,1.4416,21.3999,1.9878
252,-87.125,13.625,30,10.1758,163.4000,10.3807,255.8000,3.1553,92.4000,7.1229,3.0234,17.2419,2.9212,13.4764,1.3579,21.6072,1.9963
253,-86.875,13.625,30,10.1325,161.3000,10.1168,252.0667,3.1919,90.7667,6.9327,2.9270,19.0121,2.5528,17.3263,1.4989,21.7695,1.8043
254,-86.625,13.625,30,10.4553,164.1333,10.0393,250.3667,3.4506,86.2333,6.7968,3.0918,16.5815,2.3876,17.6430,1.6030,22.0465,1.8767
255,-86.375,13.625,30,10.9539,170.4000,10.3860,248.7667,4.0214,78.3667,6.6485,3.2087,18.1613,2.3689,17.9975,1.8072,29.0344,2.2175
